1 71 429 156 124 248 2	3
1 72 429 157 124 249 2	3
1 73 429 157 124 249 2	3
1 74 429 158 125 250 2	3
1 75 429 158 125 250 2	3
1 76 428 159 125 251 2	3
1 77 428 159 125 251 2	3
1 78 427 159 125 251 2	3
1 79 426 159 126 252 2	3
1 80 426 159 126 252 2	3
1 81 426 159 126 253 2	3
1 82 426 159 126 253 2	3
1 83 427 159 127 254 2	3
1 84 427 159 127 255 2	3
1 85 428 159 127 255 2	3
1 86 428 159 127 255 2	3
1 87 429 159 127 255 2	3
1 88 430 159 127 255 2	3
1 89 430 159 127 254 2	3
1 90 431 159 127 254 2	3
1 91 431 160 126 253 2	3
1 92 431 160 126 253 2	3
1 93 430 161 126 253 2	3
1 94 430 161 126 253 2	3
1 95 429 161 126 253 2	3
1 96 427 161 127 254 2	3
1 97 426 161 127 254 2	3
1 98 424 161 127 255 2	3
1 99 422 160 128 256 2	3
1 100 419 160 129 258 2	3
1 101 416 159 129 259 2	4
1 102 414 158 130 261 2	4
1 103 411 158 131 262 2	4
1 104 408 157 132 264 2	4
1 105 405 156 133 267 2	4
1 106 403 155 134 269 2	4
1 107 400 154 135 271 2	4
1 108 397 153 137 274 2	4
1 109 393 152 138 276 2	4
1 110 389 152 139 279 2	4
1 111 385 151 140 281 2	4
1 112 381 150 141 283 2	4
1 113 378 150 142 284 2	4
1 114 373 150 142 285 2	4
1 115 369 150 142 285 2	4
1 116 365 150 142 285 2	4
1 117 360 151 141 283 2	4
1 118 355 152 141 282 2	4
1 119 351 153 139 279 2	4
1 120 345 154 138 277 2	4
1 121 340 155 137 275 2	4
1 122 335 156 136 272 2	4
1 123 330 157 135 270 2	4
1 124 325 157 134 268 2	4
1 125 319 158 133 267 2	4
1 126 313 158 133 267 2	4
1 127 307 157 133 267 2	4
1 128 301 157 134 268 2	4
1 129 296 156 135 271 2	4
1 130 291 154 137 274 2	4
1 131 287 153 139 278 2	4
1 132 282 151 141 282 2	4
1 133 278 149 143 286 2	4
1 134 273 148 145 290 2	4
1 135 269 146 147 295 2	4
1 136 264 144 150 300 2	4
1 137 260 142 153 306 2	4
1 138 256 140 156 312 2	4
1 139 252 137 159 318 2	4
1 140 248 135 162 324 2	4
1 141 245 132 165 331 2	4
