1 1 370 187 90 181 5	3
1 2 372 184 92 185 5	3
1 3 373 182 94 188 5	3
1 4 374 180 95 191 5	3
1 5 376 178 97 194 5	3
1 6 377 176 98 197 5	3
1 7 378 174 100 200 5	3
1 8 379 172 101 203 5	3
1 9 380 171 102 205 5	3
1 10 380 169 103 207 5	3
1 11 380 166 105 210 5	3
1 12 380 164 106 212 5	3
1 13 380 161 107 215 5	3
1 14 380 159 108 217 5	3
1 15 381 158 109 218 5	3
1 16 381 157 109 219 5	3
1 17 382 156 110 220 5	3
1 18 383 156 110 221 5	3
1 19 385 155 111 222 5	3
1 20 387 155 111 223 5	3
1 21 389 156 112 224 5	3
1 22 391 157 112 224 5	3
1 23 393 158 112 224 5	3
1 24 395 159 112 224 5	3
1 25 397 160 112 224 5	3
1 26 398 161 111 223 5	3
1 27 399 162 111 223 5	3
1 28 400 163 111 222 5	3
1 29 401 164 111 222 5	3
1 30 402 165 110 221 5	3
1 31 402 166 110 221 5	3
1 32 402 167 110 220 5	3
1 33 402 167 110 220 5	3
1 34 402 167 110 220 5	3
1 35 402 167 110 220 5	3
1 36 403 166 110 220 5	3
1 37 404 166 110 221 5	3
1 38 405 165 110 221 5	3
1 39 406 164 110 221 5	3
1 40 407 164 111 222 5	3
1 41 408 163 111 222 5	3
1 42 409 162 111 223 5	3
1 43 410 162 111 223 5	3
1 44 411 161 112 224 5	3
1 45 412 161 112 224 5	3
1 46 414 161 112 225 5	3
1 47 415 161 113 226 5	3
1 48 416 161 113 226 5	3
1 49 417 161 113 227 5	3
1 50 417 160 114 228 5	3
1 51 418 160 114 229 5	3
1 52 418 160 115 231 5	3
1 53 419 159 116 232 5	3
1 54 420 159 117 234 5	3
1 55 421 158 118 236 5	3
1 56 422 158 118 237 5	3
1 57 423 158 119 239 5	3
1 58 424 157 120 240 5	3
1 59 424 157 120 241 5	3
1 60 425 156 121 242 5	3
1 61 425 156 121 242 5	3
1 62 425 156 121 242 5	3
1 63 426 156 121 243 5	3
1 64 426 155 121 243 5	3
1 65 426 155 121 243 5	3
1 66 427 155 121 243 5	3
1 67 427 155 122 244 5	3
1 68 428 156 122 244 5	3
1 69 428 156 122 245 5	3
1 70 429 156 123 247 5	3
